regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,hotZone,Ring of Fire,KAZE,1,0,0.0%
EA,hotZone,Ring of Fire,KENJI,2,0,0.0%
EA,hotZone,Ring of Fire,LEON,1,0,0.0%
EA,hotZone,Ring of Fire,LOLA,4,3,75.0%
EA,hotZone,Ring of Fire,LOU,2,1,50.0%
EA,hotZone,Ring of Fire,LUMI,5,4,80.0%
EA,hotZone,Ring of Fire,MEEPLE,1,1,100.0%
EA,hotZone,Ring of Fire,MEG,1,0,0.0%
EA,hotZone,Ring of Fire,MINA,4,3,75.0%
EA,hotZone,Ring of Fire,MORTIS,2,0,0.0%
EA,hotZone,Ring of Fire,NAJIA,2,1,50.0%
EA,hotZone,Ring of Fire,PAM,2,0,0.0%
EA,hotZone,Ring of Fire,PENNY,2,2,100.0%
EA,hotZone,Ring of Fire,PIERCE,2,0,0.0%
EA,hotZone,Ring of Fire,POCO,1,0,0.0%
EA,hotZone,Ring of Fire,ROSA,1,1,100.0%
EA,hotZone,Ring of Fire,RUFFS,3,2,66.7%
EA,hotZone,Ring of Fire,SANDY,1,0,0.0%
EA,hotZone,Ring of Fire,SHADE,1,0,0.0%
EA,hotZone,Ring of Fire,SIRIUS,4,2,50.0%
EA,hotZone,Ring of Fire,STU,2,1,50.0%
EA,hotZone,Ring of Fire,ZIGGY,1,0,0.0%
EA,knockout,,COLT,2,2,100.0%
EA,knockout,,DOUG,1,1,100.0%
EA,knockout,,HANK,2,2,100.0%
EA,knockout,,JANET,1,0,0.0%
